K	T	s
3	1	0.6093
4	1	0.8813
5	1	1.2194
6	1	1.6612
7	1	2.1922
8	1	2.8824
9	1	3.6550
10	1	4.6816
11	1	5.4143
12	1	6.3567
13	1	7.2835
14	1	7.9161
15	1	9.3437
3	2	0.3213
4	2	0.4609
5	2	0.6444
6	2	0.8653
7	2	1.1142
8	2	1.3959
9	2	1.7302
10	2	2.1707
11	2	2.5264
12	2	3.0811
13	2	3.4661
14	2	3.9640
15	2	4.7211
3	4	0.1855
4	4	0.2709
5	4	0.3714
6	4	0.4691
7	4	0.5889
8	4	0.7435
9	4	0.9467
10	4	1.1509
11	4	1.3513
12	4	1.5964
13	4	1.8180
14	4	2.1114
15	4	2.4513
3	8	0.1629
4	8	0.2314
5	8	0.2992
6	8	0.3628
7	8	0.5073
8	8	0.6137
9	8	0.7576
10	8	0.9421
11	8	1.0529
12	8	1.3019
13	8	1.4503
14	8	1.7080
15	8	1.9596
3	16	0.1246
4	16	0.2010
5	16	0.2669
6	16	0.3487
7	16	0.4740
8	16	0.5834
9	16	0.7071
10	16	0.8779
11	16	1.0203
12	16	1.2274
13	16	1.3970
14	16	1.5882
15	16	1.7907
