K	T	s
3	1	0.0646
4	1	0.0960
5	1	0.1327
6	1	0.1822
7	1	0.2472
8	1	0.3063
9	1	0.3763
10	1	0.4673
11	1	0.5638
12	1	0.6613
13	1	0.7487
14	1	0.8635
15	1	1.0156
3	2	0.0333
4	2	0.0488
5	2	0.0909
6	2	0.0953
7	2	0.1184
8	2	0.1594
9	2	0.1926
10	2	0.2364
11	2	0.2856
12	2	0.3360
13	2	0.3959
14	2	0.4462
15	2	0.5328
3	4	0.0178
4	4	0.0441
5	4	0.0417
6	4	0.0717
7	4	0.0776
8	4	0.0799
9	4	0.0981
10	4	0.1375
11	4	0.1832
12	4	0.2015
13	4	0.2213
14	4	0.2470
15	4	0.2839
3	8	0.0168
4	8	0.0247
5	8	0.0346
6	8	0.0470
7	8	0.0607
8	8	0.0754
9	8	0.0930
10	8	0.1189
11	8	0.1427
12	8	0.1670
13	8	0.1959
14	8	0.2267
15	8	0.2416
3	16	0.0202
4	16	0.0259
5	16	0.0336
6	16	0.0399
7	16	0.0514
8	16	0.0617
9	16	0.0803
10	16	0.0990
11	16	0.1246
12	16	0.1477
13	16	0.1610
14	16	0.1934
15	16	0.1903
