K	T	s
3	1	0.1450
4	1	0.2075
5	1	0.3060
6	1	0.4105
7	1	0.5405
8	1	0.6791
9	1	0.8431
10	1	1.0679
11	1	1.2444
12	1	1.5113
13	1	1.6889
14	1	1.9305
15	1	2.3225
3	2	0.0694
4	2	0.1059
5	2	0.1592
6	2	0.2050
7	2	0.2843
8	2	0.3450
9	2	0.4323
10	2	0.5451
11	2	0.6336
12	2	0.7678
13	2	0.8686
14	2	0.9810
15	2	1.1603
3	4	0.0406
4	4	0.0573
5	4	0.0848
6	4	0.1115
7	4	0.1385
8	4	0.1993
9	4	0.2377
10	4	0.2694
11	4	0.3561
12	4	0.4137
13	4	0.4463
14	4	0.5234
15	4	0.6106
3	8	0.0375
4	8	0.0569
5	8	0.0820
6	8	0.1085
7	8	0.1345
8	8	0.1737
9	8	0.2175
10	8	0.2555
11	8	0.3054
12	8	0.3276
13	8	0.3688
14	8	0.4560
15	8	0.5442
3	16	0.0335
4	16	0.0479
5	16	0.0669
6	16	0.0896
7	16	0.1252
8	16	0.1447
9	16	0.1858
10	16	0.2214
11	16	0.2747
12	16	0.3177
13	16	0.3764
14	16	0.4031
15	16	0.4547
