K	T	s
3	1	0.1373
4	1	0.2150
5	1	0.2954
6	1	0.3897
7	1	0.5310
8	1	0.6561
9	1	0.8268
10	1	1.0352
11	1	1.2170
12	1	1.4361
13	1	1.6607
14	1	1.8913
15	1	2.1630
3	2	0.0802
4	2	0.1231
5	2	0.1648
6	2	0.2112
7	2	0.2873
8	2	0.3494
9	2	0.4397
10	2	0.5339
11	2	0.6334
12	2	0.7308
13	2	0.8610
14	2	0.9770
15	2	1.1089
3	4	0.0429
4	4	0.0672
5	4	0.0942
6	4	0.1289
7	4	0.1499
8	4	0.1801
9	4	0.2178
10	4	0.2932
11	4	0.3357
12	4	0.3796
13	4	0.4356
14	4	0.6742
15	4	0.5709
3	8	0.0498
4	8	0.0415
5	8	0.0581
7	8	0.1683
8	8	0.1541
9	8	0.1173
10	8	0.2256
11	8	0.1893
12	8	0.2151
13	8	0.2414
14	8	0.3015
15	8	0.3014
3	16	0.0282
5	16	0.0238
6	16	0.0339
8	16	0.0661
9	16	0.2165
10	16	0.1830
11	16	0.1944
12	16	0.4133
13	16	0.4462
14	16	0.1571
15	16	0.1725
